year;month;day;hour;minute;Par1;Par2;Par3;Par4;Rnet1;Rnet2;Rnet3;Rnet4;Rnet5
5;12;5;8;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;9;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;9;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;10;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;10;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;11;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;11;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;12;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;12;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;13;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;13;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;14;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;14;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;15;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;15;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;16;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;16;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;17;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;17;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;18;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;18;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;19;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;19;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;20;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;20;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;21;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;21;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;12;5;22;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
